xanthan,rpm_val,aer_val,placement,n_frames,n_bubbles,epsilon_obs_lower,epsilon_obs_mid,epsilon_obs_upper,a_obs_m2_m3_lower,a_obs_m2_m3_mid,a_obs_m2_m3_upper,mean_diameter_mm,a_specific_m2_m3,a_L_m2_m3
000 xanthan,100.0,70.0,placement_2,970.0,37730.0,0.016114880022467932,0.019144953299950883,0.022175026678394924,26.241313265880617,29.446193975293212,32.651074771327394,0.8565305122606092,1465.8424172791056,32.831968956544955
000 xanthan,100.0,70.0,placement_3,974.0,27282.0,0.02289435495050556,0.02630568024436035,0.02971700562129259,33.9565294348194,37.630909858762735,41.30529039598373,1.1848230267056443,1399.748432192183,41.78224648537416
000 xanthan,100.0,70.0,placement_4,975.0,19711.0,0.01719489725516392,0.020022470582754918,0.022850043812923018,24.14696841825058,27.009265745043177,29.871563048059155,1.1025074657135248,1313.302374121634,30.10804828429716
000 xanthan,100.0,70.0,placement_5,980.0,22824.0,0.022215465801517783,0.026273333565660348,0.030331201359284143,34.873700648870006,39.36777063590756,43.861840614684674,1.3611867314159416,1446.495360237241,44.66321195635096
000 xanthan,100.0,70.0,placement_6,981.0,21787.0,0.02407892624764592,0.02849545471104164,0.03291198316931541,37.673252227333116,42.466813299397934,47.2603744711984,1.4451711781833196,1439.0021269621047,48.19467431605291
000 xanthan,100.0,80.0,placement_1,982.0,58707.0,0.0010420314262268144,0.0011758793721950013,0.001309727317479181,7.295201050954377,7.636092684738506,7.97698433145659,0.46292880405272885,6044.551860393732,7.6521210864251765
000 xanthan,100.0,80.0,placement_2,976.0,42966.0,0.014425659574138315,0.017044148445473424,0.019662637350740964,26.189766234692573,29.214470442315154,32.239174522841935,0.842404247575545,1632.4200719412304,32.22870001631303
000 xanthan,100.0,80.0,placement_3,958.0,26967.0,0.025627015301830827,0.029373938118193627,0.03312086091794753,37.06488859600676,40.93361452879876,44.802340447895716,1.2510939052167154,1362.0984724141308,45.387906731435855
000 xanthan,100.0,80.0,placement_4,965.0,20258.0,0.01969431647512738,0.022682416006862844,0.025670515488852835,27.82241332605122,30.947520773373153,34.07262814953456,1.1904711242712924,1335.1117926564843,34.38292908629737
000 xanthan,100.0,80.0,placement_5,972.0,22906.0,0.02486291870345139,0.028860888446400564,0.032858858205423246,36.37807446923069,40.64905088189517,44.92002730148805,1.3688352457442996,1374.8076818165403,45.6963114100762
000 xanthan,100.0,80.0,placement_6,979.0,23758.0,0.02531326308062913,0.02964173717753417,0.03397021126253487,38.716134934740786,43.33833592356616,47.960537048685495,1.3862468373848327,1423.29123450837,48.872445902518585
000 xanthan,100.0,90.0,placement_1,982.0,58549.0,0.0015383092366134323,0.0017821957010724662,0.0020260821671204843,8.041958570205946,8.558665339547677,9.07537212678019,0.4717675162715643,4408.840716437773,8.753351660673955
000 xanthan,100.0,90.0,placement_2,949.0,42827.0,0.018385589735768242,0.02123340327078016,0.024081216896306778,30.482616460983643,33.684741486308866,36.88686640434379,0.8898391873453767,1545.896289152878,36.901056817410236
000 xanthan,100.0,90.0,placement_3,951.0,26993.0,0.028878019152098804,0.03303358591481684,0.037189152501701885,39.951752166651026,44.06723069013855,48.1827092399336,1.2988669759539504,1310.6900457842153,48.99143698864519
000 xanthan,100.0,90.0,placement_4,949.0,20784.0,0.02131416176165027,0.024433316174804744,0.027552470624341012,28.616864363579253,31.67107833763546,34.72529229676368,1.1687201937417835,1276.0010545288135,35.01488534102929
000 xanthan,100.0,90.0,placement_5,970.0,25930.0,0.022672999281805918,0.026695426977804942,0.03071785479499505,36.037460173466194,40.45712408100883,44.87678795675185,1.2980687659471688,1461.8393145232444,45.603628278188985
000 xanthan,100.0,90.0,placement_6,974.0,20668.0,0.030123575946733164,0.0351638379787152,0.040204100108426996,42.036941556377975,47.004154322769686,51.97136712985825,1.5365752221973061,1301.2006883382528,53.26963722971248
000 xanthan,125.0,45.0,placement_1,982.0,39668.0,0.0012867290357850174,0.0014873558293607605,0.0016879826341160227,5.268991425237952,5.607517615381922,5.946043789465048,0.4425278819741436,3485.1913476694845,5.771154496866649
000 xanthan,125.0,45.0,placement_2,982.0,34291.0,0.01630445175267721,0.019343114585156328,0.022381777403671043,28.44785541531566,32.012881416658075,35.57790741814262,0.9698447239980982,1590.3751632265391,35.80564609696119
000 xanthan,125.0,45.0,placement_3,979.0,26921.0,0.0242487459145795,0.0284581735172159,0.032667601030106436,43.95472764843099,49.026760901121364,54.09879400497189,1.5078230088101143,1660.7044471877641,55.05109835675857
000 xanthan,125.0,45.0,placement_4,982.0,29142.0,0.008612134420148122,0.0102723343778765,0.011932534329333333,21.79656911577127,24.360768708025056,26.924968323304117,1.0088305104875521,2247.747618355485,26.831180831955454
000 xanthan,125.0,45.0,placement_5,982.0,32773.0,0.01730126918685413,0.02069133167195716,0.02408139415194346,37.40153046525659,42.12500477343395,46.848479133915646,1.2774832800578504,1945.611284208526,47.2511827474404
000 xanthan,125.0,45.0,placement_6,982.0,33743.0,0.017955317497943605,0.02129747496615143,0.024639632398257894,39.482633477447514,44.22083505095611,48.95903657102332,1.2906226620767942,1985.597751062484,49.37618365862206
000 xanthan,125.0,55.0,placement_1,982.0,50609.0,0.001344075061632558,0.001539352548788274,0.0017346300472523158,7.070893766763241,7.489419752537907,7.9079457269420645,0.47071377011017085,4510.89830296579,7.644578528026805
000 xanthan,125.0,55.0,placement_2,981.0,39249.0,0.014089401748877588,0.01675695008973453,0.01942449848017474,25.978698976371593,29.134612761827498,32.29052657829963,0.866045037143119,1657.9561651719305,32.35032038710342
000 xanthan,125.0,55.0,placement_3,982.0,28191.0,0.023871261427957372,0.02775054218515379,0.03162982307424811,41.99381263966812,46.65012114989477,51.306429688831955,1.4229413585808761,1628.9411629993358,52.05566031691023
000 xanthan,125.0,55.0,placement_4,982.0,29048.0,0.00949790957232236,0.01135393114728162,0.013209952713180009,22.504667251176933,25.20258844297636,27.9005096384712,0.9985431076459579,2107.194002241437,27.799478061105177
000 xanthan,125.0,55.0,placement_5,982.0,35997.0,0.018529564828018052,0.02193752478814776,0.02534548476376978,40.00326034468298,44.65297403063044,49.302687891115205,1.2620184301417972,1941.4521272302682,49.73236898332973
000 xanthan,125.0,55.0,placement_6,982.0,34331.0,0.020116567773866206,0.023662205952317387,0.02720784417482929,41.86738374654249,46.7278410967972,51.5882984356814,1.3074930449321613,1896.1101391840373,52.14927599697071
000 xanthan,125.0,70.0,placement_1,982.0,56294.0,0.002049727387356511,0.002334223329028806,0.0026187192644473215,9.379297208230684,9.92909077777349,10.478884345966048,0.5104664578513082,3949.0879311648923,10.128058496649544
000 xanthan,125.0,70.0,placement_2,978.0,40558.0,0.01956653332250686,0.022991077935946822,0.026415622404867917,34.09126902399209,38.043508145283056,41.995747341070036,0.980720275018761,1588.41627739449,42.35342880638411
000 xanthan,125.0,70.0,placement_3,956.0,28689.0,0.02469135717703526,0.028118594997939395,0.031545832761065276,39.22443214570215,43.11476551644115,47.0050988433811,1.2837109226694448,1496.0115560855538,47.557856597637894
000 xanthan,125.0,70.0,placement_4,976.0,32697.0,0.010475381221854716,0.012193224406729632,0.013911067631547662,23.74600530078451,26.225076567328795,28.70414776666068,0.9718662801972736,2060.746715949223,28.507697825297004
000 xanthan,125.0,70.0,placement_5,982.0,31708.0,0.023763041602646817,0.027726479651617765,0.031689917665340135,44.49441886828888,49.503159291603346,54.51189952844147,1.3995472725806797,1724.330655577661,55.284672626883264
000 xanthan,125.0,70.0,placement_6,964.0,28299.0,0.02532350718576328,0.029410659446334718,0.03349781173937426,45.42122019136515,50.4083597715332,55.39549925353684,1.4735369120532817,1659.3683877802257,56.341939078095145
000 xanthan,125.0,80.0,placement_1,982.0,58745.0,0.0012084027019924897,0.0013604416790272491,0.0015124806572878915,7.561167420151952,7.930557297282501,8.299947195164227,0.46843230291285315,5420.840710099728,7.962099458397393
000 xanthan,125.0,80.0,placement_2,978.0,42780.0,0.020079632526104722,0.023513992866492972,0.02694835326056349,35.16773997643113,39.080892806416436,42.99404553514711,0.9834999814223491,1594.3515959195115,43.27965532656897
000 xanthan,125.0,80.0,placement_3,953.0,26720.0,0.028813498682152,0.03297671313940149,0.03713992753587155,44.057394855025045,48.62704234209437,53.19668994017767,1.4211513576634949,1443.7379993349746,54.15554686781679
000 xanthan,125.0,80.0,placement_4,971.0,29079.0,0.012231893513649965,0.01426219318776703,0.01629249284452731,24.667323185756505,27.33994786309591,30.01257255682185,1.0192282863718527,1843.5475579211281,29.962932711456034
000 xanthan,125.0,80.0,placement_5,969.0,29932.0,0.02567926732536246,0.029923212876240817,0.03416715841811679,44.606010553813064,49.6569925859597,54.70797455530569,1.4165164318265187,1604.8118886495627,55.65484826321739
000 xanthan,125.0,80.0,placement_6,978.0,27256.0,0.02514158167345016,0.029398435001288654,0.03365528831378554,43.85957348728662,48.95140258014757,54.0432316142109,1.4758897386628171,1611.7443463673565,55.01343994351144
000 xanthan,125.0,90.0,placement_1,982.0,61301.0,0.0028229403495222886,0.0032314647341941992,0.0036399891297435997,10.356974229614453,11.031817038803306,11.706659818286706,0.506578565835569,3182.6631300892027,11.306516791639028
000 xanthan,125.0,90.0,placement_2,962.0,41146.0,0.023688286317957958,0.027080996071210665,0.03047370595117809,37.70660820608853,41.58546152650296,45.4643148340047,1.0232048466189432,1498.5097769738516,45.88752718504301
000 xanthan,125.0,90.0,placement_3,929.0,25979.0,0.027645590032210312,0.03153732263503149,0.03542905537164142,42.12668383071019,46.40738667578202,50.688089487801044,1.3824000923154038,1436.200889757332,51.597338252077556
000 xanthan,125.0,90.0,placement_4,922.0,27299.0,0.02043925988486144,0.023552582403124828,0.02666590492630809,34.60010084452225,38.24362700655347,41.88715322330879,1.2081586726879077,1577.524531020381,42.243886250892736
000 xanthan,125.0,90.0,placement_5,963.0,29078.0,0.02701395071763807,0.03135594257201223,0.035697934375079184,45.69660530301139,50.70228828075892,55.70797143764686,1.4421779748969101,1563.83325019052,56.72983590012817
000 xanthan,125.0,90.0,placement_6,884.0,22387.0,0.029186785637020245,0.033557244848852294,0.0379277040073182,45.66300083383912,50.518953082714134,55.37490545750482,1.553667399300565,1473.3826780531645,56.47424603858058
000 xanthan,150.0,45.0,placement_1,982.0,49925.0,0.001846875517687872,0.002161091788297881,0.0024753080678532814,8.666032961078125,9.276237151984336,9.886441363499593,0.505071918410595,3946.618464026055,9.600652032859573
