position,rpm,lmin,xanthan,rep,fluid,n_bursts,metric,dt_ms,tau_s,N,rho1,tau_int,N_eff,N_eff_ar1
1,100,70,0125,rep_2,xanthan,1,count,100.0,0.21780241580648832,498.0,0.11114961226040874,2.178024158064883,228.64760161451093,398.3689398890576
1,100,70,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.4140471685950906,498.0,0.3746169299355144,4.1404716859509065,120.27615155291869,226.56549771049598
1,100,70,025,rep_1,xanthan,1,count,100.0,1.498151289884783,500.0,0.6609130565177428,14.981512898847832,33.37446647584257,102.07847489415978
1,100,70,025,rep_1,xanthan,1,mean_diameter_mm,100.0,1.8222498056261351,500.0,0.6902448076879308,18.22249805626135,27.438609045602135,91.63027476942237
1,100,70,025,rep_2,xanthan,1,count,100.0,0.43385108510128084,499.0,0.51266033979718,4.338510851012808,115.01642317743897,160.764769223614
1,100,70,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.37052606882354033,499.0,0.6083900521011499,3.7052606882354033,134.67338521804365,121.49625257022967
1,100,80,000,rep_1,water,10,count,7.6923,0.1970024967746761,500.0,0.9342419793946222,25.61035019105808,19.523356622221286,16.998395574569926
1,100,80,000,rep_1,water,10,mean_diameter_mm,7.6923,0.2148890835509073,491.0,0.9197096738214339,27.93560879722674,17.57613387143162,20.53568343758992
1,100,80,000,rep_2,water,10,count,7.6923,0.23744663123004564,500.0,0.9645253744657535,30.868092927998863,16.197955641972158,9.028803087843478
1,100,80,000,rep_2,water,10,mean_diameter_mm,7.6923,0.15418842197925747,491.0,0.9038376215448174,20.04451490181837,24.495479307182343,24.80029141518001
1,100,80,0125,rep_1,xanthan,1,count,100.0,0.17788644877529564,497.0,0.0927189670138995,1.7788644877529562,279.39171500792924,412.65749658059724
1,100,80,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.23601939302182964,497.0,0.3167661010165146,2.3601939302182964,210.57591651124704,257.8797005274162
1,100,80,0125,rep_2,xanthan,1,count,100.0,0.1354127112654225,497.0,0.10969822845389109,1.3541271126542251,367.02610512378715,398.7390167098943
1,100,80,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.20966438312280578,497.0,0.2628908185276688,2.0966438312280578,237.04550701341316,290.0830838400163
1,100,80,025,rep_1,xanthan,1,count,100.0,1.7114812676032416,500.0,0.5566058110678631,17.114812676032415,29.214459396345017,142.42340153797818
1,100,80,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.5317513335143619,500.0,0.5830929682599172,5.3175133351436195,94.02891323195819,131.67484162295693
1,100,80,025,rep_2,xanthan,1,count,100.0,0.4841944595027935,500.0,0.6042606028798537,4.841944595027935,103.2642960254929,123.34012205053945
1,100,80,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.7025644914612013,500.0,0.6500226602017379,7.025644914612013,71.16784381745434,106.05228286848876
1,100,90,000,rep_1,water,10,count,7.6923,0.27473199057938064,500.0,0.9630933359425897,35.71519449051397,13.999643768783088,9.400129729361376
1,100,90,000,rep_1,water,10,mean_diameter_mm,7.6923,0.23743324215184408,491.0,0.9348626329306727,30.866352346092075,15.907289416469208,16.529569948124394
1,100,90,000,rep_2,water,10,count,7.6923,0.27725962741175486,500.0,0.9625402548279735,36.04378760731574,13.87201604468771,9.543688359989865
1,100,90,000,rep_2,water,10,mean_diameter_mm,7.6923,0.2158241567980059,491.0,0.9128574467246509,28.05716844090921,17.499984042726474,22.36810366159788
1,100,90,0125,rep_1,xanthan,1,count,100.0,0.27757973238682976,492.0,0.11909607132648488,2.7757973238682974,177.2463701760323,387.28107801651646
1,100,90,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.31202445821261626,492.0,0.30074797089402183,3.1202445821261624,157.67994689209485,264.4878224055067
1,100,90,0125,rep_2,xanthan,1,count,100.0,0.10552419963448305,493.0,0.042869124241745056,1.0552419963448305,467.19141363560567,452.46858956717716
1,100,90,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.16897976419668773,493.0,0.23156023865274836,1.6897976419668774,291.75091014221186,307.6104525415856
1,100,90,025,rep_1,xanthan,1,count,100.0,0.5388896414135931,500.0,0.5370439618024432,5.38889641413593,92.7833755884453,150.5994785128536
1,100,90,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.3731283966700436,500.0,0.4830633925229345,3.7312839667004365,134.0021302217179,174.28001057920775
1,100,90,025,rep_2,xanthan,1,count,100.0,0.5721593160076073,500.0,0.46942383865248855,5.721593160076073,87.38824764558271,180.5388436579564
1,100,90,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.5598769526325537,500.0,0.5270666483200225,5.598769526325537,89.30533711898464,154.85026544200525
1,125,45,000,rep_1,water,10,count,7.6923,0.1842926263397667,500.0,0.930199879093728,23.958065382235056,20.869798626175836,18.08106032496611
1,125,45,000,rep_1,water,10,mean_diameter_mm,7.6923,0.13897746302579075,491.0,0.8860336597539737,18.067088260441057,27.176487595683756,29.669392574943938
1,125,45,000,rep_2,water,10,count,7.6923,0.2460428343897839,500.0,0.9338321085425365,31.98560045627236,15.63203419249709,17.10797208433259
1,125,45,000,rep_2,water,10,mean_diameter_mm,7.6923,0.14033893466852806,491.0,0.8566576155604607,18.244079750988398,26.912840039158425,37.90742577950657
1,125,45,0125,rep_1,xanthan,1,count,100.0,0.1221631799864293,500.0,0.034884984445502656,1.221631799864293,409.28862530882327,466.2909550628042
1,125,45,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.15976196131492754,500.0,0.14576819861567664,1.5976196131492753,312.96561201723426,372.77688559361775
1,125,45,0125,rep_2,xanthan,1,count,100.0,0.14270055446193242,500.0,0.09426896119178024,1.4270055446193242,350.38406254643024,413.8521108292144
1,125,45,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.2304975280934152,500.0,0.1898737852688161,2.304975280934152,216.92206599168463,340.42527231077713
1,125,45,025,rep_1,xanthan,1,count,100.0,0.23847620436368477,500.0,0.2825979785827982,2.3847620436368477,209.664524531547,279.66753160249493
1,125,45,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.30841349284817393,500.0,0.3764540223224124,3.084134928481739,162.12001471872713,226.50447002418358
1,125,45,025,rep_2,xanthan,1,count,100.0,0.18957551235658815,500.0,0.2725811922981017,1.8957551235658814,263.74714423005696,285.80447837213546
1,125,45,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.27416095528200585,500.0,0.39059218248415617,2.741609552820058,182.37461985996254,219.1180941443223
1,125,55,000,rep_1,water,10,count,7.6923,0.14112919345533848,500.0,0.9241882085077446,18.3468134960075,27.25268887203799,19.69968196381613
1,125,55,000,rep_1,water,10,mean_diameter_mm,7.6923,0.1116987162787385,491.0,0.8862362180200342,14.520847637083639,33.81345306220789,29.61347917006752
1,125,55,000,rep_2,water,10,count,7.6923,0.14705300352995423,500.0,0.9153338066850512,19.116909575803625,26.154855104449137,22.102203025770265
1,125,55,000,rep_2,water,10,mean_diameter_mm,7.6923,0.2322812357837653,491.0,0.940332827872657,30.196590848480337,16.260113681830077,15.09874032623856
1,125,55,0125,rep_1,xanthan,1,count,100.0,0.17043333875256114,500.0,0.05614866035884926,1.7043333875256117,293.36983225207535,446.83640431852507
1,125,55,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.1,500.0,0.11061957369911593,1.0,500.0,400.39832151464987
1,125,55,0125,rep_2,xanthan,1,count,100.0,0.18662558459925122,499.0,0.14427809462060268,1.8662558459925123,267.3802742917179,373.1656078987489
1,125,55,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.45699224734933447,499.0,0.30307390296290054,4.569922473493345,109.19222435267132,266.881350037607
1,125,55,025,rep_1,xanthan,1,count,100.0,0.1450507385223665,500.0,0.14568085278821233,1.450507385223665,344.7069660544342,372.8434254324206
1,125,55,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.1866405589618752,500.0,0.275001081114723,1.8664055896187521,267.89461132193367,284.3130604451788
1,125,55,025,rep_2,xanthan,1,count,100.0,0.34586445585817543,500.0,0.2913080991519254,3.4586445585817547,144.565303410371,274.4085247020104
1,125,55,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.36201198173208887,500.0,0.4326291481079473,3.6201198173208886,138.11697546796415,198.0173489564174
1,125,70,000,rep_1,water,10,count,7.6923,0.23543116159289765,500.0,0.9409702251080727,30.606081613158306,16.33662245039031,15.206254616461344
1,125,70,000,rep_1,water,10,mean_diameter_mm,7.6923,0.3050081704958745,491.0,0.9689495368291039,39.6511018155655,12.383010244806169,7.74310216272102
1,125,70,000,rep_2,water,10,count,7.6923,0.18767481782306053,500.0,0.9373752812613521,24.397750714748582,20.493692465582374,16.162258119107246
1,125,70,000,rep_2,water,10,mean_diameter_mm,7.6923,0.22369188145541696,491.0,0.9072587542958958,29.07997366917787,16.884471959492018,23.875078060672333
1,125,70,0125,rep_1,xanthan,1,count,100.0,0.1766314098180706,498.0,0.11853918189853717,1.766314098180706,281.9430590023243,392.4471261430941
1,125,70,0125,rep_1,xanthan,1,mean_diameter_mm,100.0,0.16956380538038396,498.0,0.0816181547059653,1.6956380538038396,293.69475336014796,422.8425317812455
1,125,70,0125,rep_2,xanthan,1,count,100.0,0.1469887173263484,500.0,0.08214367821547396,1.4698871732634842,340.16216284810906,424.0917080891382
1,125,70,0125,rep_2,xanthan,1,mean_diameter_mm,100.0,0.30475461087024547,500.0,0.26476890917619,3.0475461087024547,164.0664266152428,290.65827183509134
1,125,70,025,rep_1,xanthan,1,count,100.0,0.21089984260577288,499.0,0.2715279547093826,2.108998426057729,236.60520265667617,285.8824686108459
1,125,70,025,rep_1,xanthan,1,mean_diameter_mm,100.0,0.22637901429188903,499.0,0.36710381522781205,2.2637901429188902,220.42679245727186,231.01039780851963
1,125,70,025,rep_2,xanthan,1,count,100.0,0.2511409950051892,500.0,0.28734289731357143,2.5114099500518923,199.09135105149548,276.79381467579543
1,125,70,025,rep_2,xanthan,1,mean_diameter_mm,100.0,0.18964571041946207,500.0,0.25090717486343184,1.8964571041946205,263.6495172467072,299.4198291405398
1,125,80,000,rep_1,water,10,count,7.6923,0.2677614442007747,500.0,0.966982805346439,34.80902255512326,14.364091930711481,8.392852892210664
1,125,80,000,rep_1,water,10,mean_diameter_mm,7.6923,0.27158784117544,491.0,0.9154060880424006,35.30645465926186,13.90680556115246,21.685015532989066
1,125,80,000,rep_2,water,10,count,7.6923,0.2466032558216356,500.0,0.9548578242465887,32.05845531526794,15.596509410167164,11.546153176333755
1,125,80,000,rep_2,water,10,mean_diameter_mm,7.6923,0.19416888718088435,491.0,0.836931997045818,25.24198057549554,19.451722440379896,43.58701877873941
1,125,80,0125,rep_1,xanthan,1,count,100.0,0.15423176113458192,499.0,0.06619039415993684,1.542317611345819,323.5390663564912,437.0429483013071
