position,rpm,lmin,xanthan,rep,fluid,n_bursts,metric,dt_ms,tau_s,N,rho1,tau_int,N_eff,N_eff_ar1
1,125,55,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.09713838949993686,491.0,0.8537937991121415,12.628003262995055,38.88183981063897,38.72450359383035
1,125,55,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.18954354307131316,491.0,0.9255471093660115,24.64068523995595,19.92639389767546,18.98492595869264
1,125,55,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.23313225567202286,491.0,0.9511121227521923,30.307223544586517,16.200758188148267,12.30270031576361
1,125,55,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,500.0,0.011803728536832201,1.0,500.0,488.33397406639176
1,125,55,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.14703099599343275,500.0,0.005449857701069121,1.4703099599343277,340.0643494398506,494.5796822593123
1,125,55,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.30675161114180893,499.0,0.17113283142273147,3.0675161114180898,162.67233223082113,353.16635826663327
1,125,55,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.3646081943142498,499.0,0.20567496658222356,3.646081943142498,136.85923898076743,328.7521120215938
1,125,55,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,500.0,0.045512636904329995,1.0,500.0,456.4685922505071
1,125,55,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.10371267827816039,500.0,0.16195488402397729,1.0371267827816038,482.1011358505135,360.618612434323
1,125,55,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.3114108458758276,500.0,0.1661905572104983,3.1141084587582766,160.5595972721421,357.49279465268324
1,125,55,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.27539303343404276,500.0,0.27724789420003493,2.7539303343404278,181.55869586285343,282.9333714629605
1,125,70,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.21667898833112054,491.0,0.9291862326343285,28.16829665134232,17.43094394657343,18.022915148563136
1,125,70,000,rep_1,water,10,a_obs_m2_m3_mid,7.6923,0.2815850094069764,491.0,0.9688155969698983,36.60608782899476,13.413069495262787,7.777031993928302
1,125,70,000,rep_2,water,10,epsilon_obs_mid,7.6923,0.020223485117699704,491.0,0.7138977864048354,2.6290556943566554,186.7590713479162,81.96298985244405
1,125,70,000,rep_2,water,10,a_obs_m2_m3_mid,7.6923,0.147374427072191,491.0,0.8450120762656228,19.158694678079506,25.628050775389177,41.245838730555484
1,125,70,0125,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1,498.0,-0.01912981745157346,1.0,498.0,517.4248928357312
1,125,70,0125,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.11674952117742061,498.0,0.053932306668696514,1.1674952117742061,426.55421193822707,447.0322318595481
1,125,70,0125,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1990285454735571,500.0,0.18559581274645204,1.990285454735571,251.22024522177392,343.4577697128363
1,125,70,0125,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.17673138585698298,500.0,0.10596921575593789,1.7673138585698296,282.91522616396895,404.18429894225653
1,125,70,025,rep_1,xanthan,1,epsilon_obs_mid,100.0,0.1520188550916425,499.0,0.16430796824693003,1.520188550916425,328.2487555239017,358.16153046918004
1,125,70,025,rep_1,xanthan,1,a_obs_m2_m3_mid,100.0,0.12641859508593076,499.0,0.17570701869846161,1.2641859508593074,394.7204125000866,349.85093320682233
1,125,70,025,rep_2,xanthan,1,epsilon_obs_mid,100.0,0.1595074963327179,500.0,0.12252024328861386,1.5950749633271792,313.4648913033191,390.8525311493092
1,125,70,025,rep_2,xanthan,1,a_obs_m2_m3_mid,100.0,0.1,500.0,0.04757420124114501,1.0,500.0,454.58631838701257
1,125,80,000,rep_1,water,10,epsilon_obs_mid,7.6923,0.09581507088497195,491.0,0.7042539402918218,12.455971671018023,39.418843665359006,85.20521025866061
